aggregate_summary.csv

Number of Trials with Mean Rock Displacement <= 0,1
Specific Trials with Mean Rock Displacement <= 0,417

Number of Trials with Mean BBot Displacement <= 0,95
Specific Trials with Mean BBot Displacement <= 0,"3, 7, 9, 12, 48, 49, 91, 105, 137, 149, 152, 153, 171, 196, 206, 218, 225, 228, 240, 242, 252, 259, 271, 275, 276, 286, 307, 322, 334, 336, 341, 346, 351, 361, 371, 413, 423, 432, 439, 472, 475, 480, 498, 507, 518, 526, 532, 533, 543, 553, 566, 579, 599, 604, 606, 617, 626, 650, 652, 676, 698, 699, 707, 719, 720, 721, 722, 729, 731, 754, 761, 774, 778, 786, 787, 794, 805, 815, 821, 822, 827, 865, 873, 883, 897, 917, 933, 945, 949, 959, 961, 967, 971, 972, 983"

Total Trials,1000

,Mean of Pooled Rock Displacement (px),46.47
,SD of Above (px),64.3
,Mean of Intra-Run Rock Displacement (px),46.47
,SD of Above (px),26.2

,Mean of Pooled Bbot Displacements (px),71.16
,SD of Above (px),174.74
,Mean of Intra-Run Bbot Displacements (px),71.16
,SD of Above (px),55.0

,Mean of Pooled Bbot Stop Times (s),14.16
,SD of Above (s),15.12
,Mean of Intra-Run Stop Time Means (s),14.16
,SD of Above (s),11.71


Trial,Duration,Mean Rock Displacement,Rock Displacement SD,Mean BBot Displacement,BBot Displacement SD,Mean BBot Stop Time,BBot Stop SD
301,28.02,23.37,35.71,53.02,179.24,8.59,8.29
302,20.98,21.84,39.69,58.06,116.57,5.88,5.55
303,37.2,49.74,54.41,14.56,173.98,8.58,8.67
304,33.7,33.6,50.32,33.67,157.42,15.14,10.28
305,42.72,98.84,80.22,103.26,160.37,16.03,11.32
306,15.95,30.49,46.06,20.73,156.62,3.62,3.17
307,18.22,26.74,33.24,-2.31,217.35,4.26,3.32
308,27.57,76.36,86.02,135.86,179.3,19.1,6.65
309,25.25,43.35,45.06,66.05,153.17,5.4,6.26
310,28.15,68.17,49.71,123.14,210.24,12.54,8.12
311,23.95,39.73,64.77,41.27,179.15,11.94,9.23
312,32.43,36.51,49.17,80.02,157.61,7.98,6.51
313,21.27,28.04,29.66,15.25,153.2,7.66,5.11
314,70.42,87.92,71.38,58.87,167.51,28.83,17.35
315,21.35,40.88,58.54,84.68,139.31,7.78,6.69
316,26.68,30.14,49.72,54.46,178.35,7.49,7.81
317,17.6,16.5,32.86,60.61,130.53,6.18,5.41
318,29.38,41.4,71.33,77.22,129.55,7.58,6.45
319,8.92,22.6,34.25,33.53,149.43,3.2,1.91
320,43.95,31.64,61.21,109.94,184.35,15.23,15.22
321,69.78,69.54,67.97,90.31,156.29,18.43,19.61
322,20.37,21.23,42.89,-8.31,153.02,7.46,5.78
323,30.28,62.46,47.51,91.32,193.44,19.17,8.58
324,51.57,62.24,75.74,86.88,185.17,18.19,9.44
325,69.0,79.34,63.25,136.23,179.71,47.07,18.93
326,7.52,13.68,23.76,3.2,145.09,2.87,2.4
327,25.82,49.49,46.64,27.08,174.34,11.95,8.34
328,42.03,89.27,79.17,50.91,176.45,29.91,8.54
329,25.17,30.3,69.21,104.82,163.59,8.49,7.8
330,34.12,91.94,59.64,102.25,173.47,21.99,8.67
331,38.38,91.26,92.56,83.51,170.49,19.84,9.33
332,32.92,26.0,36.13,41.62,137.55,10.64,8.64
333,16.57,14.98,26.37,77.78,130.66,5.31,4.2
334,12.63,33.66,57.21,-8.8,159.79,3.72,2.7
335,69.18,83.92,51.62,129.68,221.25,51.81,12.47
336,13.48,8.03,29.57,-6.51,145.62,5.7,3.95
337,40.5,57.39,79.38,176.73,147.56,20.47,9.49
338,45.7,82.89,87.3,114.28,192.31,20.5,12.27
339,11.85,33.95,35.1,17.13,143.94,4.03,2.89
340,19.3,21.09,26.03,31.07,196.48,6.79,4.42
341,10.03,24.57,54.25,-27.84,149.56,3.59,2.68
342,90.73,104.65,84.21,132.47,211.61,50.52,26.19
343,39.88,51.18,49.02,91.25,174.09,17.77,8.39
344,60.42,76.14,61.62,161.33,177.22,21.24,11.83
345,21.77,21.43,33.82,61.44,140.51,6.96,6.12
346,19.9,20.42,35.43,-22.54,141.86,3.78,4.55
347,17.05,21.65,28.08,23.52,158.82,5.16,5.35
348,31.3,53.11,57.1,54.55,148.93,12.61,9.23
349,53.37,47.78,53.2,53.32,155.68,25.52,14.56
350,13.25,36.56,34.28,78.91,169.37,4.28,3.73
351,30.45,15.96,23.14,-6.15,174.61,7.96,6.98
352,26.03,55.94,39.54,115.39,190.19,14.54,8.33
353,6.97,19.15,41.55,20.7,140.68,2.5,2.37
