Group,Clustering_Score
Active (Stigmergic),0.5085865257595773
Active (Stigmergic),0.4972677595628415
Active (Stigmergic),0.5420689655172414
Active (Stigmergic),0.5064102564102564
Active (Stigmergic),0.5193591455273698
Active (Stigmergic),0.5177398160315374
Active (Stigmergic),0.5013927576601671
Active (Stigmergic),0.5106809078771696
Active (Stigmergic),0.5124309392265194
Active (Stigmergic),0.495014245014245
Active (Stigmergic),0.5122615803814714
Active (Stigmergic),0.49663526244952894
Active (Stigmergic),0.5094850948509485
Active (Stigmergic),0.49532085561497324
Active (Stigmergic),0.5327868852459017
Active (Stigmergic),0.5073333333333333
Active (Stigmergic),0.5131752305665349
Active (Stigmergic),0.49673202614379086
Active (Stigmergic),0.5213730569948186
Active (Stigmergic),0.5161290322580645
Active (Stigmergic),0.5145695364238411
Active (Stigmergic),0.4916550764951321
Active (Stigmergic),0.5300546448087432
Active (Stigmergic),0.517464424320828
Active (Stigmergic),0.47545582047685836
Active (Stigmergic),0.5072463768115942
Active (Stigmergic),0.4895833333333333
Active (Stigmergic),0.4896265560165975
Active (Stigmergic),0.5148849797023004
Active (Stigmergic),0.5075136612021858
Active (Stigmergic),0.4959623149394347
Active (Stigmergic),0.4939353099730458
Active (Stigmergic),0.4925068119891008
Active (Stigmergic),0.49047619047619045
Active (Stigmergic),0.5413929040735874
Active (Stigmergic),0.5114942528735632
Active (Stigmergic),0.5050287356321839
Active (Stigmergic),0.47564276048714477
Active (Stigmergic),0.5221642764015645
Active (Stigmergic),0.5221300138312587
Active (Stigmergic),0.4903598971722365
Active (Stigmergic),0.4980366492146597
Active (Stigmergic),0.4793956043956044
Active (Stigmergic),0.5192307692307693
Active (Stigmergic),0.5103305785123967
Active (Stigmergic),0.5121130551816958
Active (Stigmergic),0.5282308657465495
Active (Stigmergic),0.4798387096774194
Active (Stigmergic),0.5013850415512465
Active (Stigmergic),0.5006720430107527
Active (Stigmergic),0.49673202614379086
Active (Stigmergic),0.5295302013422819
Active (Stigmergic),0.527063599458728
Active (Stigmergic),0.5158940397350993
Active (Stigmergic),0.5131578947368421
Active (Stigmergic),0.5238726790450928
Active (Stigmergic),0.5312883435582823
Active (Stigmergic),0.4723374827109267
Active (Stigmergic),0.5033692722371967
Active (Stigmergic),0.48201936376210236
Active (Stigmergic),0.4928478543563069
Active (Stigmergic),0.5044136191677175
Active (Stigmergic),0.5348837209302325
Active (Stigmergic),0.5185185185185185
Active (Stigmergic),0.5
Active (Stigmergic),0.5120805369127517
Active (Stigmergic),0.5047554347826086
Active (Stigmergic),0.49274406332453824
Active (Stigmergic),0.5164765525982256
Active (Stigmergic),0.5145118733509235
Active (Stigmergic),0.5232712765957447
Active (Stigmergic),0.5261437908496732
Active (Stigmergic),0.519620253164557
Active (Stigmergic),0.5193591455273698
Active (Stigmergic),0.5187096774193548
Active (Stigmergic),0.49793672627235214
Active (Stigmergic),0.4954188481675393
Active (Stigmergic),0.5123697916666666
Active (Stigmergic),0.5166889185580774
Active (Stigmergic),0.5152519893899205
Active (Stigmergic),0.48812849162011174
