Group,Final_Clustering_Score,Delta_Score
Active (Stigmergic),0.5032679738562091,0.1738562091503268
Active (Stigmergic),0.5179028132992327,0.21355498721227617
Active (Stigmergic),0.5148849797023004,0.2131258457374831
Active (Stigmergic),0.5257537688442211,0.2229899497487437
Active (Stigmergic),0.4800824175824176,0.19093406593406592
Active (Stigmergic),0.5113493064312736,0.20239596469104665
Active (Stigmergic),0.5086898395721925,0.19585561497326204
Active (Stigmergic),0.5146443514644351,0.2336122733612273
Active (Stigmergic),0.5128726287262872,0.2032520325203252
Active (Stigmergic),0.4972027972027972,0.1923076923076923
Active (Stigmergic),0.5075034106412005,0.2326057298772169
Active (Stigmergic),0.5044871794871795,0.20192307692307693
Active (Stigmergic),0.4879518072289157,0.19344042838018743
Active (Stigmergic),0.49547218628719275,0.19922380336351875
Active (Stigmergic),0.508724832214765,0.22281879194630866
Active (Stigmergic),0.5006385696040868,0.20370370370370366
Active (Stigmergic),0.5,0.1952054794520548
Active (Stigmergic),0.5257801899592944,0.2299864314789688
Active (Stigmergic),0.5232712765957447,0.23271276595744683
Active (Stigmergic),0.5141935483870967,0.2154838709677419
Active (Stigmergic),0.46368715083798884,0.1878491620111732
Active (Stigmergic),0.48660084626234135,0.18758815232722148
Active (Stigmergic),0.5550688360450563,0.23779724655819773
Active (Stigmergic),0.5225763612217795,0.20517928286852588
Active (Stigmergic),0.5121130551816958,0.22476446837146702
Active (Stigmergic),0.5068399452804377,0.213406292749658
Active (Stigmergic),0.536783042394015,0.21134663341645887
Active (Stigmergic),0.5033967391304348,0.2119565217391305
Active (Stigmergic),0.5442132639791938,0.24187256176853056
Active (Stigmergic),0.5026845637583892,0.20469798657718113
Active (Stigmergic),0.4958041958041958,0.21328671328671328
Active (Stigmergic),0.4749652294853964,0.19123783031988872
Active (Stigmergic),0.5105960264900662,0.21456953642384102
Active (Stigmergic),0.5026041666666666,0.17578124999999994
Active (Stigmergic),0.5120643431635389,0.20978552278820378
Active (Stigmergic),0.5068399452804377,0.21682626538987687
Active (Stigmergic),0.5027359781121751,0.2181942544459644
Active (Stigmergic),0.4954128440366973,0.19790301441677594
Active (Stigmergic),0.5129427792915532,0.23297002724795646
Active (Stigmergic),0.5059445178335535,0.20343461030383098
Active (Stigmergic),0.5287206266318538,0.22584856396866843
Active (Stigmergic),0.5074224021592443,0.21322537112010798
Active (Stigmergic),0.4939919893190921,0.19092122830440583
Active (Stigmergic),0.5170603674540682,0.22440944881889763
Active (Stigmergic),0.5125,0.19013157894736837
Active (Stigmergic),0.521108179419525,0.1992084432717678
Active (Stigmergic),0.5026525198938993,0.20689655172413796
Active (Stigmergic),0.5287958115183246,0.2205497382198952
Active (Stigmergic),0.5089779005524862,0.21408839779005523
Active (Stigmergic),0.5059366754617414,0.20712401055408963
Active (Stigmergic),0.5128032345013477,0.22574123989218325
Active (Stigmergic),0.4956268221574344,0.21647230320699712
Active (Stigmergic),0.49025069637883006,0.201949860724234
Active (Stigmergic),0.47413793103448276,0.21120689655172414
Active (Stigmergic),0.5158311345646438,0.20976253298153036
Active (Stigmergic),0.494,0.19666666666666666
Active (Stigmergic),0.5411311053984575,0.22107969151670948
Active (Stigmergic),0.5272244355909694,0.2423638778220451
Active (Stigmergic),0.4958563535911602,0.21685082872928174
Active (Stigmergic),0.5082758620689655,0.21103448275862063
Active (Stigmergic),0.5080536912751678,0.20872483221476507
Active (Stigmergic),0.48337950138504154,0.2070637119113573
Active (Stigmergic),0.5021582733812949,0.21079136690647476
Active (Stigmergic),0.49511854951185497,0.2273361227336123
Active (Stigmergic),0.5172413793103449,0.21711366538952748
Active (Stigmergic),0.5178799489144317,0.20434227330779053
Active (Stigmergic),0.512396694214876,0.23278236914600547
Active (Stigmergic),0.5020746887966805,0.2033195020746888
Active (Stigmergic),0.523943661971831,0.2232394366197183
Active (Stigmergic),0.5179521276595744,0.22672872340425526
Active (Stigmergic),0.5073627844712182,0.2295850066934404
Active (Stigmergic),0.5051150895140665,0.17838874680306904
