Trial,Step_500,Step_1000,Step_1500,Step_2000,Step_2500,Step_3000,Step_3500,Step_4000,Step_4500,Step_5000,Step_5500,Step_6000,Step_6500,Step_7000,Step_7500,Step_8000,Step_8500,Step_9000,Step_9500,Step_10000
43,33.78891224318201,29.133269493218933,31.106691639247167,63.00384061475196,59.38396690300684,65.68633044148346,42.1394343320801,42.13132559704532,98.84371784662628,67.09717925159897,40.249378317199096,44.54517183753902,80.46506321017182,76.12646803789714,28.617129297891392,39.045449730951205,53.01563828385339,66.00134285858616,52.4760642262049,72.7074621822658
44,44.088156710386684,35.27094485822591,13.764432293645001,33.28415745990919,-27.6025120679634,-17.623323654672234,-30.855147230587967,19.389795046638664,24.143537061760952,22.436758358542654,41.948504365461375,8.64121305976611,18.389164191030346,50.24158783191634,34.21039756210027,40.24101750417495,38.69225757388151,-19.282794590238538,9.996492146625892,-4.938707912735852
45,38.65959389189879,24.113360618676648,-12.574560262987989,-50.3478475793853,-26.02756197033804,8.003933923695662,4.482025681819867,33.44758808412714,47.57017498091584,39.05720391919444,27.91484445572616,9.070884845220885,21.893312982516772,11.659992374404927,-11.202231831708918,-19.37699901180296,2.653953439829256,-20.829922919748377,-50.58143192898575,-18.336531446407
46,34.3667704165517,-14.964387838244178,-44.481317910755884,7.384831399800243,17.01699751439622,-17.875507247291125,-20.56443882403645,4.094747367288693,-2.390372534966339,-13.997524587892478,52.66605789628629,86.08579308380115,-36.27678444106033,-64.32487695540982,-70.48441759034854,-59.00348381112975,6.836989973490747,18.440640668037037,-22.76470959506781,-24.190249597470622
47,9.098888601857375,19.945056268647697,20.682734399245312,-24.73618597946007,24.995489115529235,52.1107665629561,-9.108910769603314,-24.3068240752915,-50.381213251229575,0.03921584440207511,34.3494453198675,80.94053044012591,60.86700013547863,17.289169260208006,-10.11540011552396,29.524652651915428,37.139377800474406,32.31098727918365,7.086468395152797,12.35457531367427
48,-18.10792084046749,48.380895593544444,39.85742434905874,3.647641237129913,27.602202339108366,80.46100512614646,55.012789013071846,27.687277932404065,8.92699140870096,-10.754134694269299,32.11590981130873,69.88083704525384,63.59472595320153,73.64574144906308,77.66761868604944,58.59875732895602,86.75664044751846,85.200515565901,67.01632537996264,48.301203789154705
49,-18.138732580226247,29.87184022039891,21.642480744269093,-29.004783280241014,-5.811501315236197,20.10627501568495,-2.8685560921267994,-27.957868973615362,-87.21149668200763,-35.76455730056228,20.0101559422836,-15.772157020831292,23.942770293410476,25.537556914648817,17.255084320216305,-23.65521252640873,6.688905768312298,-44.95663753324393,-27.011395980688427,-40.53544928166518
50,11.202179585515886,-19.55452670520654,-1.2262471740453094,-6.39227549390548,-38.76766212289892,-8.578162636547296,10.231853164082398,34.73976635795094,56.80659624354227,20.930333146395476,6.69006890925934,-2.501953492398188,15.840598634751945,40.40815901360262,17.55608173324457,23.063880881101177,-29.06265297414949,-11.498222141343641,-97.63924389960499,9.116267577853248
51,-28.622249335639374,-24.922593522272553,-49.55893156313399,-20.463468748443635,-17.45664814432771,-67.41135146305066,-65.78792384646479,-58.58497303980009,-39.68618131193579,-73.94010331664404,-47.767520769693014,-92.95935215231633,-37.90033278643196,-98.58748318427114,-88.23120636198793,-77.01560953007237,-72.60924876051672,-24.340081669773923,-29.578171587376065,-55.5620531441511
52,-18.817912737540034,-85.88282319233574,-12.526050578356907,-30.302914701410806,-58.343466238080566,-55.581306302178255,-89.61407069732795,-31.119704001875935,-53.86850053001586,-38.01577857546553,-67.98035593697286,-56.43297936893105,11.78693201181689,-41.196250826617145,-73.46137255911097,-45.167648034987835,-15.368139219739096,-58.140903772472704,-51.53946100532293,-66.45406346075232
53,-32.89043161675646,-36.2266839295412,-34.616554547789086,-59.891729679674384,-73.77152872019845,-75.05551916421682,-128.51793910015434,-133.11669903898164,-89.70752642779412,-72.89236060403779,-0.35420229611067383,19.089773701056195,-56.51191346711634,-61.75363409909108,-101.82875121238797,-106.32667945405305,-67.06728777676679,-74.08757727687362,-80.9557816225549,-135.68995421665966
54,11.881120607117866,18.80928630486363,-50.050293178797276,-35.77726007033218,-6.77220911120591,-24.47238420897714,-2.795650435422749,-1.3462573156893185,-24.596270238711572,-13.47589191108754,-29.298211971461583,9.776796678293291,-23.681937992162787,11.407572378206213,-21.029304302217607,-37.65104618478507,-24.295272344152036,-36.274349170604495,-34.21768047247976,-19.498968166789545
55,-6.429119608601242,24.530917777588623,20.178694254971244,-23.778713708798474,-19.382076476836403,-5.389377420983029,-16.330249427112882,-26.631535205598404,-7.2653259538494765,-29.25292501008611,-67.49605155592796,-63.301315707992046,-71.01479400761154,-14.370151110588612,6.682004604752291,-63.28582835138367,-27.721306685687562,-23.405455538039675,-83.65575773829033,-70.91158785917034
56,5.408596200219338,-49.83964789607756,5.551750009469704,-57.708765199140956,-64.77195115785835,-38.72774405368886,-10.516686271255612,-45.65113541601109,-3.1900586251308694,18.279471271021183,-9.107873368771651,6.992118925409073,-15.266785560207856,-24.43894805288256,-50.61399240240193,-53.16000237492469,-96.2523034135954,-60.32594103189535,-23.253386147915812,2.7251461790782643
57,-38.002509924628185,-42.4976174009768,-6.216203486956809,-3.122328772792011,19.648110500301367,-36.900031353971556,-18.727361446791768,-63.54700117283395,-67.2424570534759,-48.49860473986594,-66.922668022139,-39.77959018935436,-33.122022653340146,-33.15826344787544,-39.2616482441071,-30.983078329618483,-48.0398646572902,-38.86600415826742,-88.06214782676223,-46.80201333378754
58,-33.23385655362391,11.470620754356688,31.790031264629132,-29.440458453338543,-16.845544728964274,-25.721544114327155,-8.526101994555464,3.6896357490586524,1.6525814880911611,-13.089411665013577,-45.23185908342702,-62.265994708840985,16.94925994017654,21.748693009510525,25.97713520583504,1.4559089624603403,36.61117546668489,28.837262958760306,-29.480427468322176,-5.545191495315831
